rimod18	rimod38	rimod61	rimod59	rimod43	rimod34	rimod37	rimod62	rimod68	rimod19	rimod31	rimod47	rimod28	rimod58	rimod29	rimod11	rimod40	rimod30	rimod24	rimod64	rimod35	rimod7	rimod72	rimod16	rimod33	rimod15	rimod71	rimod32	rimod22	rimod54	rimod52	rimod36	rimod13	rimod60	rimod53	rimod57	rimod42	rimod27	rimod2	rimod12	rimod44	rimod65	rimod1	rimod3	rimod41	rimod25
hsa-miR-106a-3p	10.5131266353986	2.45323613168444	0	5.18772651945077	4.30961062543841	0	10.0458635760502	5.17756681900674	3.38877020470539	1.82841394623005	4.65786558542536	6.53208376020711	6.77536205967172	17.3237024201684	6.83106577624587	6.74435688388568	1.82890103331724	3.58813770629729	10.2273502320374	3.33507593931613	4.04516270991072	2.82565844370912	6.90709817347362	7.37122030654223	6.44189223767792	6.7635620367941	2.82962150464796	0.978688186125319	8.93248266115855	11.2864695727611	5.71553104240496	2.79063472027462	8.91110172767486	7.56000963676797	10.1161196674875	3.84142545823544	1.0503494392731	23.7275462083738	29.0908120047368	24.9440334748572	24.59911181301	32.9843503349622	20.3891225189321	37.2009295833359	50.6351301480631	41.4503316008523
hsa-miR-106a-5p	3.00375046725675	0	0	0	0	0	1.67431059600837	0	0	0	0	0.93315482288673	0.846920257458965	1.33259249385911	0	0	0.914450516658619	0	0	0	0	0.941886147903039	0	0	0	0	0	0	1.48874711019309	0	0	0	0	0	2.24802659277501	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-106b-3p	1054.31641400712	409.690433991301	293.023488959669	302.185069758008	405.10339879121	317.341360493414	602.751814563014	358.115038314633	292.563827672899	239.522226956137	351.668851699615	357.398297165617	211.730064364741	351.804418378805	370.829284996204	433.886959529979	539.525804828585	337.284944391945	873.973565283199	197.603249404481	280.46461455381	291.042819702039	257.536089039516	211.659325944998	288.811501989227	787.278621082833	322.576851529868	279.904821231841	311.148146030356	460.864174221078	202.901352005376	281.854106747737	257.308062386612	373.680476331674	496.813877003277	296.750116648688	468.455849915805	351.167683883933	353.938212724298	209.146126827649	267.173686635747	348.9744265439	225.736713602462	382.549559215304	460.89476418862	515.5384992856
hsa-miR-106b-5p	1398.24584250802	793.621888599915	716.861035490618	632.902635372994	756.336664764441	596.103967358217	765.159942375826	722.270571251441	757.954935785773	692.054678648075	873.349797267256	680.269865884426	629.261751292011	760.910313993551	1051.98412954186	936.341547379462	1000.40886522453	724.803816672053	1125.93828463612	542.7836091237	613.516344336459	605.632793101654	825.891595885346	563.371837714299	647.410169886631	1905.97178196858	1064.88089291585	664.529278379092	742.884807986353	925.49050496641	608.704056016128	667.659356825703	936.77956912182	663.120845282219	899.210637110003	594.460589661935	633.360711881682	11.8637731041869	3210.4943359672	13.4314026403077	5.46646929178	8.57593108709016	2546.45576602519	3256.321369528	3574.9552682945	3435.8438928519
hsa-miR-107	274.843167753993	359.39909329177	484.535269244024	364.437787991417	339.381836753275	416.899434373701	398.485921849993	245.071496099653	219.140473237615	459.846107476859	299.656019329032	401.256573841294	475.969184691939	377.123675762128	294.711694918036	323.729130426513	395.042623196524	227.846744349878	158.059049040579	274.309996008752	382.942069871548	354.149191611543	410.478977166432	446.485344281987	443.416915693497	167.736338512494	310.31515834306	276.968756673465	401.961719752135	94.0539131063425	545.833214549673	237.901609903411	356.444069106995	432.000550672455	313.599709692113	203.595549286478	296.198541875016	30.845810070886	45.2523742295906	28.1419864844543	19.13264252123	26.3874802679697	80.8283071286235	17.9804492986124	19.5635730117517	18.1345200753729
hsa-miR-10a-3p	18.0225028035405	1.22661806584222	0	0	3.23220796907881	0	0	0	1.12959006823513	0	0.776310930904227	0.93315482288673	0	2.66518498771822	0	0	0	0.897034426574323	9.29759112003403	0.833768984829033	0	0	0	0	1.07364870627965	0	0	0.978688186125319	0	0	0	0	11.1388771595936	0	0	0	3.15104831781931	1.18637731041869	0.808078111242688	0	2.0499259844175	0.659687006699243	0	1.8600464791668	0	0
hsa-miR-10a-5p	23116.863596008	1885.31196719949	905.233278393262	963.620200987981	7104.39311603522	786.508783654266	2102.93410858652	994.955757052463	1780.23394753857	811.815792126144	1097.70365629858	865.034520815998	399.746361520632	4032.42488641766	872.424686280544	1532.0930721227	2334.59216902945	617.159685483134	12799.0639358389	534.44591927541	899.374509170149	1359.14171142409	1210.71563697888	453.856564588529	654.925710830588	806.216594785857	484.808484463018	2102.22222379719	2106.57716092322	859.65276579197	1423.16722955883	758.354985234628	23344.8587510762	1892.16241194535	3553.0060298809	918.100684518271	3689.87758016642	109.14671255852	48.4846866745613	49.248476347795	217.292154348255	47.4974644823455	26.9427690428745	148.183702840288	93.7900706151624	91.3202618081277
hsa-miR-10b-3p	0	0	0	0	2.1548053127192	0	0	0	0	0	0	0	0	0	0	0	0	1.79406885314865	0.929759112003404	0	0	0	0	1.05303147236318	0	1.35271240735882	0	0	0	0	0	1.39531736013731	0	1.08000137668114	1.1240132963875	0	0	5.93188655209346	0	1.91877180575825	1.366617322945	0	0	6.20015493055599	0	0.647661431263317
hsa-miR-10b-5p	3410.75865557004	1516.09992938098	1115.58228296788	951.947816319217	2784.00846403321	684.461757926972	2419.3788112321	894.856131884999	727.456003943424	1491.07157315061	1297.99187647187	529.098784576776	1045.09959770436	995.446592912754	1746.80110564002	1056.61591180876	1751.17273940126	936.503941343593	2608.90406828155	1865.14121906255	1882.34904767845	1169.82259569557	1928.06711870964	1915.46424822862	1994.8392962676	2438.94047046795	1425.18603117436	2074.81895458568	1159.73399884042	801.339339666038	1134.53291191738	887.421841047329	2987.446854203	1307.88166716086	4312.83901823885	754.840102543264	2429.45825303869	130.501504146056	60.6058583432016	128.557710985802	100.446373236457	135.895523380044	44.4191597733877	439.590984576419	120.25843410165	109.454781883501
hsa-miR-1178-3p	0	0	0	0	0	0	0	0.862927803167791	0	0.914206973115027	1.55262186180845	0	0	0	0	0	0	0.897034426574323	0	0	0	0	0	0	0	0	0	0.978688186125319	0	0	0	0.697658680068655	0	2.16000275336228	0	1.92071272911772	0	1.18637731041869	0.808078111242688	0	1.366617322945	1.31937401339849	0.728182947104717	0	0	0.647661431263317
hsa-miR-1179	48.060007476108	80.9567923455864	87.9070466879006	60.9557866035466	71.1085753197337	88.3577905687545	93.7613933764688	36.2429677330472	35.0172921152891	74.0507648223172	75.30216029771	79.318159945372	90.6204675481093	63.9644397052372	63.4313250651402	68.5676283195044	60.3537340994689	36.7784114895472	31.6118098081157	51.6936770594	67.4193784985119	94.1886147903039	59.2036986297739	72.6591715930591	97.7020322714484	36.5232349986881	41.5011154015035	55.7852266091432	56.5723901873375	43.2648000289175	103.832147270357	45.3478142044626	59.036048945846	64.8000826008683	67.4407977832502	48.017818227943	85.0783045811215	105.587580627264	127.676341576345	147.745429043385	147.59467087806	89.7174329110971	184.230285617493	85.5621380416726	69.6233039535868	75.1287260265448
hsa-miR-1180-3p	354.442555136297	821.834104114286	848.721605522469	1103.68881701315	588.261850372343	908.467424157617	798.646154295993	857.750236348784	681.142811145784	941.633182308478	667.627400577635	965.815241687765	1158.58691220386	622.320694632204	684.082444164051	691.296580598283	730.645962810237	876.402634763113	581.099445002127	1141.42974023095	1062.52940513655	1185.83466020993	708.470926936294	869.803996171983	1066.1331653357	335.472677024987	527.252807032737	917.030830399424	594.010096967044	526.701913395518	1128.81738087498	779.284745636688	478.971717862524	684.720872815842	663.167844868627	990.127411860185	1144.88088880768	634.711861074	867.067813363405	734.889601605408	883.518099283942	748.744752603641	990.328808062415	581.574532486151	627.760533994737	784.96565469114
hsa-miR-1180-5p	3.00375046725675	2.45323613168444	1.04651246057025	0	2.1548053127192	0	0	1.72585560633558	1.12959006823513	1.82841394623005	0.776310930904227	0.93315482288673	0.846920257458965	1.33259249385911	0	2.24811896129523	0	0.897034426574323	1.85951822400681	0.833768984829033	2.69677513994048	0.941886147903039	0	0	4.29459482511861	2.70542481471764	0	1.95737637225064	0	0	0	0.697658680068655	2.22777543191872	0	0	0	2.10069887854621	1.18637731041869	5.65654677869882	1.91877180575825	2.73323464589	1.97906102009773	3.64091473552358	1.2400309861112	2.87699603113995	2.59064572505327
hsa-miR-1185-1-3p	13.5168771026554	22.0791251851599	10.4651246057025	25.9386325972539	5.38701328179801	41.0677054756183	16.7431059600837	21.5731950791948	14.6846708870567	19.1983464354156	12.4209748944676	13.9973223433009	8.46920257458965	7.99555496315465	5.85519923678217	11.2405948064761	13.7167577498793	12.5584819720405	8.36783200803063	15.8416107117516	16.1806508396429	11.3026337748365	13.8141963469472	9.47728325126858	31.1358124821099	2.70542481471764	15.0913146914558	6.85081730287724	11.9099768815447	7.5243130485074	15.2414161130799	12.5578562412358	6.68332629575615	23.760030286985	11.240132963875	23.0485527494127	19.956639346189	85.4191663501458	19.3938746698245	53.0860199593115	80.6304220537549	55.4137085627364	42.9627938791783	40.3010070486139	31.0715571363115	33.0307329944292
